NAME,RECORD,NICKNAME,HEIGHT,WEIGHT,REACH,STANCE,DOB,SLpM,Str. Acc.,SApM,Str. Def.,TD Avg.,TD Acc.,TD Def.,Sub. Avg.
Daniel Acacio,Record: 30-18-0,,"5' 8""",180 lbs.,--,Orthodox,"Dec 27, 1977",3.52,36%,2.85,62%,0.33,20%,81%,0.0
John Adajar,Record: 6-2-0,The Outlaw,"5' 9""",170 lbs.,"75""",Orthodox,"Jun 22, 1991",3.90,52%,6.28,44%,0.00,0%,0%,0.0
Scott Adams,Record: 8-1-0,,"6' 0""",225 lbs.,--,Southpaw,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Juan Adams,Record: 5-3-0,The Kraken,"6' 5""",265 lbs.,"80""",Orthodox,"Jan 16, 1992",7.09,55%,4.06,34%,0.91,66%,57%,0.0
Anthony Adams,Record: 8-2-0,Sugafoot,"6' 1""",185 lbs.,"76""",Orthodox,"Jan 13, 1988",3.17,41%,5.93,44%,0.00,0%,0%,0.0
Zarrukh Adashev,Record: 4-4-0,The Lion,"5' 5""",125 lbs.,"65""",Southpaw,"Jul 29, 1992",3.65,40%,3.04,64%,0.00,0%,100%,0.5
Israel Adesanya,Record: 24-5-0,The Last Stylebender,"6' 4""",185 lbs.,"80""",Switch,"Jul 22, 1989",4.02,48%,3.20,55%,0.05,11%,76%,0.1
Sam Adkins,Record: 7-20-2,The Experience,"6' 3""",225 lbs.,--,Orthodox,"Apr 26, 1965",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Mohamed Ado,Record: 5-1-0,,"5' 11""",170 lbs.,"76""",Switch,"May 03, 2000",1.66,83%,0.33,75%,4.97,50%,50%,5.0
Nick Agallar,Record: 24-6-0,,"5' 8""",155 lbs.,--,Orthodox,"Jan 13, 1979",0.69,11%,4.56,42%,0.00,0%,0%,0.0
Mariya Agapova,Record: 10-5-0,Money Mashka,"5' 6""",125 lbs.,"68""",Southpaw,"Apr 07, 1997",4.43,54%,3.62,52%,0.55,66%,45%,0.8
Kantharaj Agasa,Record: 12-3-0,Kannadiga,--,135 lbs.,--,,"Feb 16, 1992",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Marcelo Aguiar,Record: 2-3-1,,"5' 10""",170 lbs.,--,Orthodox,"Jan 20, 1969",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Fabio Aguiar,Record: 17-1-0,,"6' 0""",185 lbs.,--,,"Feb 10, 1988",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Edwin Aguilar,Record: 26-19-0 (1 NC),Tigre,"5' 10""",185 lbs.,--,,"Jan 01, 1972",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Jessica Aguilar,Record: 20-8-0,Jag,"5' 3""",115 lbs.,"63""",Orthodox,"May 08, 1982",4.93,50%,7.19,53%,0.94,25%,50%,0.2
Kevin Aguilar,Record: 17-5-0,Angel of Death,"5' 7""",155 lbs.,"73""",Orthodox,"Sep 07, 1988",3.96,40%,4.81,52%,0.16,16%,78%,0.0
Jesus Aguilar,Record: 12-3-0,,"5' 4""",125 lbs.,"62""",Orthodox,"Mar 13, 1996",2.65,40%,1.85,62%,1.64,31%,48%,1.4
Christian Aguilera,Record: 14-8-0,The Beast,"5' 9""",170 lbs.,"72""",Switch,"Nov 25, 1991",2.54,37%,4.04,48%,0.00,0%,60%,0.0
Nick Aguirre,Record: 7-2-0,Slick,"5' 9""",135 lbs.,"74""",Southpaw,"Jan 15, 1996",0.73,33%,2.89,45%,1.16,20%,33%,0.6
Agulali,Record: 13-2-0,,"5' 9""",125 lbs.,"67""",Switch,"Apr 07, 2005",2.74,60%,2.19,59%,0.00,0%,100%,0.0
Ahejiang Ailinuer,Record: 15-3-0,,--,145 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Mike Aina,Record: 14-6-1 (1 NC),Iron,"5' 9""",155 lbs.,--,Orthodox,"Dec 25, 1980",2.87,33%,6.33,59%,0.00,0%,71%,0.0
Ashiek Ajim,Record: 6-2-0,Peak Physique,"5' 8""",135 lbs.,"71""",Switch,"Jun 19, 1994",5.00,40%,11.25,25%,0.00,0%,0%,0.0
Hitomi Akano,Record: 18-10-0,Girlfight Monster,"5' 4""",135 lbs.,--,Southpaw,"Jul 27, 1974",0.59,45%,2.58,55%,0.00,0%,8%,0.5
Omari Akhmedov,Record: 21-6-1,Wolverine,"6' 0""",185 lbs.,"73""",Orthodox,"Oct 12, 1987",2.97,34%,2.84,55%,2.58,45%,65%,0.2
Yoshihiro Akiyama,Record: 14-6-0 (2 NC),,"5' 10""",170 lbs.,"75""",Orthodox,"Jul 29, 1975",3.10,41%,3.62,57%,2.29,67%,92%,1.0
Rostem Akman,Record: 6-2-0,,"5' 10""",170 lbs.,"72""",Switch,"Dec 19, 1991",1.80,25%,3.97,57%,1.00,40%,87%,0.0
Razak Al-Hassan,Record: 13-5-0,,"6' 2""",205 lbs.,--,Orthodox,"May 14, 1982",3.27,39%,3.14,60%,0.65,14%,57%,0.0
Abdul-Kareem Al-Selwady,Record: 15-4-0,Pride of Palestine,"5' 8""",155 lbs.,"69""",Orthodox,"Apr 10, 1995",4.14,34%,3.60,59%,2.32,30%,20%,0.0
Mostapha Al-Turk,Record: 6-6-0,,"6' 2""",245 lbs.,"77""",Orthodox,"Jul 14, 1973",1.36,19%,3.61,53%,0.00,0%,0%,0.0
Herdem Alacabek,Record: 5-1-0,,"6' 2""",205 lbs.,"75""",Orthodox,"Jun 07, 1991",3.84,65%,6.66,23%,2.06,50%,42%,0.0
Javi Alanis,Record: 0-4-0,,"5' 6""",135 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Alatengheili,Record: 17-10-2,The Mongolian Knight,"5' 5""",135 lbs.,"66""",Orthodox,"Dec 14, 1991",2.82,32%,5.12,57%,1.74,43%,75%,0.0
Amir Albazi,Record: 17-3-0,The Prince,"5' 5""",125 lbs.,"68""",Orthodox,"Oct 27, 1993",2.47,33%,3.88,59%,1.18,25%,62%,0.4
Brett Albee,Record: 3-2-0,,--,225 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
John Albert,Record: 6-5-0,Prince,"5' 8""",135 lbs.,"68""",Orthodox,"Oct 13, 1986",3.05,49%,2.82,35%,0.00,0%,50%,6.1
Junior Albini,Record: 14-6-0,Baby,"6' 3""",264 lbs.,"74""",Orthodox,"Mar 15, 1991",3.98,51%,6.08,52%,1.54,37%,100%,0.0
Wes Albritton,Record: 0-1-0,,"5' 10""",188 lbs.,--,Orthodox,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Aleksandra Albu,Record: 3-2-0,Stitch,"5' 2""",115 lbs.,"63""",Orthodox,"Jul 14, 1990",4.83,47%,5.56,38%,2.27,50%,77%,0.4
Israel Albuquerque,Record: 0-3-0,,--,185 lbs.,--,Orthodox,--,0.32,13%,3.34,25%,0.00,0%,0%,0.0
Juan Alcain,Record: 1-2-0,,--,--,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Iuri Alcantara,Record: 35-10-0 (1 NC),Marajo,"5' 9""",135 lbs.,"71""",Southpaw,"Aug 04, 1980",2.72,45%,2.79,49%,1.44,62%,60%,0.8
Ildemar Alcantara,Record: 21-11-0,Marajo,"6' 2""",185 lbs.,"78""",Orthodox,"Nov 18, 1982",1.93,38%,2.63,50%,2.00,68%,81%,0.9
Alfonso Alcarez,Record: 1-3-1,,"5' 3""",145 lbs.,--,,"Jun 10, 1970",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Gilbert Aldana,Record: 6-2-0,El Peligro,"6' 1""",250 lbs.,--,Orthodox,"Aug 25, 1977",2.91,54%,6.26,26%,2.57,40%,33%,0.0
Irene Aldana,Record: 15-8-0,,"5' 9""",135 lbs.,"68""",Orthodox,"Mar 26, 1988",5.19,39%,6.64,56%,0.15,50%,77%,0.2
Hector Aldana,Record: 4-3-0,,"5' 11""",170 lbs.,"72""",Orthodox,"Aug 17, 1988",3.59,38%,5.08,59%,0.93,100%,0%,0.0
Jose Alday,Record: 14-6-1,Pochito,"5' 7""",135 lbs.,"68""",Orthodox,"Sep 14, 1991",3.13,44%,3.13,58%,0.00,0%,57%,0.0
Jose Aldo,Record: 32-10-0,,"5' 7""",135 lbs.,"70""",Orthodox,"Sep 09, 1986",3.65,46%,3.81,60%,0.47,51%,92%,0.1
JJ Aldrich,Record: 14-7-0,,"5' 5""",125 lbs.,"67""",Southpaw,"Sep 29, 1992",3.96,47%,4.32,61%,0.75,26%,67%,0.0
Irina Alekseeva,Record: 5-4-0,Russian Ronda,"5' 8""",135 lbs.,"67""",Orthodox,"Jun 27, 1990",3.42,38%,5.02,45%,0.38,20%,50%,0.4
Talita Alencar,Record: 7-1-1,Problem Child,"5' 1""",115 lbs.,"58""",Orthodox,"Oct 17, 1990",2.91,37%,3.36,55%,3.02,26%,66%,0.6
Jim Alers,Record: 13-3-0 (1 NC),The Beast,"5' 9""",145 lbs.,"71""",Orthodox,"Oct 14, 1986",2.90,40%,4.38,56%,2.26,41%,80%,0.3
John Alessio,Record: 35-17-0 (2 NC),The Natural,"5' 10""",155 lbs.,"72""",Orthodox,"Jul 05, 1979",2.10,39%,2.91,54%,1.85,38%,70%,1.2
Houston Alexander,Record: 17-15-1 (2 NC),The Assassin,"6' 0""",205 lbs.,"72""",Orthodox,"Mar 22, 1972",3.06,54%,3.20,52%,1.19,57%,33%,0.0
Kenneth Alexander,Record: 7-6-0 (1 NC),The Machine,"5' 9""",155 lbs.,--,Orthodox,"Sep 25, 1977",0.88,19%,2.20,66%,4.71,26%,0%,0.0
Lucas Alexander,Record: 8-5-0,The Lion,"5' 11""",145 lbs.,"73""",Orthodox,"Jul 28, 1995",4.69,57%,2.87,56%,0.00,0%,60%,0.0
Marcio Alexandre Junior,Record: 17-4-0,Lyoto,"6' 0""",185 lbs.,"75""",Southpaw,"May 05, 1989",1.61,45%,2.89,42%,0.35,20%,66%,0.7
Olaf Alfonso,Record: 8-12-0,,"6' 2""",170 lbs.,--,Orthodox,"Aug 06, 1974",1.65,38%,4.77,53%,0.37,7%,22%,0.7
Pablo Alfonso,Record: 9-7-0,The Hurricane,"5' 8""",145 lbs.,--,,"May 09, 1983",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Levi Alford,Record: 1-7-0,,--,--,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Bill Algeo,Record: 18-9-0,Senor Perfecto,"6' 0""",145 lbs.,"73""",Switch,"Jun 09, 1989",5.88,51%,4.38,47%,1.03,50%,55%,0.1
Royce Alger,Record: 3-2-0,,"5' 10""",199 lbs.,--,Orthodox,"Mar 06, 1965",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Amir Aliakbari,Record: 10-1-0,,"6' 3""",250 lbs.,--,,"Jun 10, 1984",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Sultan Aliev,Record: 15-3-0,,"5' 11""",170 lbs.,"74""",Orthodox,"Sep 17, 1984",1.41,45%,2.20,56%,1.76,38%,100%,0.0
Nurullo Aliev,Record: 11-0-0,Tajik Eagle,"5' 10""",155 lbs.,"72""",Orthodox,"Dec 08, 2000",2.72,44%,1.63,58%,2.12,43%,80%,0.3
Ikram Aliskerov,Record: 17-2-0,,"6' 0""",185 lbs.,"76""",Southpaw,"Dec 07, 1992",6.86,64%,5.47,41%,3.20,60%,100%,0.5
Leon Aliu,Record: 10-2-0,The Albanian Lion,"6' 0""",185 lbs.,"74""",Orthodox,"Jul 14, 1989",6.32,50%,10.11,38%,0.00,0%,0%,0.0
John Allan,Record: 13-7-0 (1 NC),,"6' 1""",205 lbs.,"75""",Orthodox,"Feb 22, 1993",3.56,42%,5.74,52%,1.40,71%,50%,0.8
George Allen,Record: 13-19-2,,"6' 2""",205 lbs.,--,Open Stance,"Jan 13, 1967",0.80,38%,3.10,43%,0.00,0%,50%,0.0
Arnold Allen,Record: 20-4-0,Almighty,"5' 8""",145 lbs.,"70""",Southpaw,"Jan 22, 1994",3.47,42%,3.04,60%,0.86,47%,71%,0.3
Brendan Allen,Record: 26-7-0,All In,"6' 2""",185 lbs.,"75""",Orthodox,"Dec 28, 1995",3.59,53%,3.62,47%,1.56,42%,56%,1.1
Daniel Allen,Record: 5-0-0,,"6' 0""",155 lbs.,"75""",Southpaw,"Aug 10, 1992",7.60,51%,5.87,53%,2.00,66%,100%,0.0
Ben Alloway,Record: 18-8-0,Blanco,"5' 11""",170 lbs.,"76""",Orthodox,"Feb 19, 1981",1.28,49%,1.90,59%,0.62,50%,26%,0.0
Asu Almabayev,Record: 23-3-0,Zulfikar,"5' 4""",125 lbs.,"65""",Orthodox,"Jan 25, 1994",2.31,50%,1.99,53%,4.46,42%,44%,1.5
Bekzat Almakhan,Record: 12-3-0,The Turan Warrior,"5' 7""",135 lbs.,"68""",Orthodox,"Oct 08, 1997",1.61,34%,3.73,36%,0.00,0%,41%,0.0
John Dave Almanza,Record: 6-1-0,The Striker,"5' 7""",125 lbs.,"67""",Southpaw,"Mar 22, 2004",1.92,41%,5.75,27%,0.00,0%,0%,0.0
Ricardo Almeida,Record: 13-5-0,Big Dog,"6' 0""",170 lbs.,"74""",Orthodox,"Nov 29, 1976",2.02,49%,1.20,61%,3.74,38%,31%,1.2
Magno Almeida,Record: 10-3-0 (1 NC),,"6' 0""",155 lbs.,--,,"Jun 06, 1985",1.67,36%,2.60,41%,0.00,0%,40%,5.0
Thomas Almeida,Record: 22-5-0,Thominhas,"5' 7""",145 lbs.,"70""",Southpaw,"Jul 31, 1991",4.84,43%,4.93,61%,0.17,14%,75%,0.0
Ericka Almeida,Record: 7-3-0,,"5' 6""",115 lbs.,--,Orthodox,"Mar 05, 1989",1.07,39%,3.33,43%,0.50,33%,37%,0.0
Estefani Almeida,Record: 7-3-0,,"5' 4""",125 lbs.,--,Orthodox,"Oct 17, 1988",3.13,37%,6.07,42%,0.00,0%,0%,0.0
Jailton Almeida,Record: 22-5-0,Malhadinho,"6' 3""",225 lbs.,"79""",Orthodox,"Jun 26, 1991",2.23,62%,1.30,43%,5.64,55%,60%,1.7
Lucas Almeida,Record: 15-5-0,,"5' 11""",145 lbs.,"71""",Orthodox,"Jan 31, 1991",4.94,39%,5.36,44%,0.00,0%,53%,0.0
Cesar Almeida,Record: 7-2-0,Cesinha,"6' 1""",185 lbs.,"74""",Orthodox,"Mar 28, 1988",3.46,58%,2.03,46%,0.00,0%,52%,0.2
Mauricio Alonso,Record: 13-7-0 (1 NC),,"6' 2""",170 lbs.,--,,"Feb 27, 1980",5.74,34%,1.91,67%,0.00,0%,0%,0.0
Sarah Alpar,Record: 9-6-0,Too Sweet,"5' 4""",135 lbs.,"63""",Southpaw,"Jun 01, 1991",2.36,44%,6.06,38%,1.61,26%,20%,0.4
Ali AlQaisi,Record: 8-5-0,The Royal Fighter,"5' 6""",135 lbs.,"68""",Orthodox,"Sep 23, 1990",2.43,42%,1.97,56%,3.50,29%,60%,1.0
Rico Altamirano,Record: 4-3-0,,"5' 10""",170 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Victor Altamirano,Record: 12-5-0,El Magnifico,"5' 8""",125 lbs.,"70""",Switch,"Jan 23, 1991",4.58,53%,3.82,53%,2.88,38%,63%,0.0
Mike Altman,Record: 1-4-0,,"5' 10""",185 lbs.,--,Orthodox,--,1.56,20%,2.08,75%,0.00,0%,0%,0.0
Patricia Alujas,Record: 9-3-0,The Angel,"5' 4""",115 lbs.,"64""",Orthodox,"May 08, 1996",5.83,31%,9.25,44%,0.00,0%,0%,0.0
Sean Alvarez,Record: 4-3-0,,"6' 0""",235 lbs.,--,Orthodox,"Jul 14, 1971",0.89,37%,3.25,47%,0.00,0%,0%,0.0
Eddie Alvarez,Record: 29-6-0 (1 NC),,"5' 9""",155 lbs.,"69""",Orthodox,"Jan 11, 1984",4.32,41%,4.39,55%,2.92,36%,92%,0.5
Jaime Alvarez,Record: 6-1-0,,"5' 8""",125 lbs.,"69""",Orthodox,"Mar 08, 1988",2.73,40%,4.53,56%,1.00,33%,50%,0.0
Joel Alvarez,Record: 23-3-0,El Fenomeno,"6' 3""",155 lbs.,"77""",Orthodox,"Mar 02, 1993",4.78,55%,3.07,54%,0.19,33%,47%,1.1
Thiago Alves,Record: 23-15-0,Pitbull,"5' 9""",170 lbs.,"70""",Orthodox,"Oct 03, 1983",3.73,41%,3.42,62%,0.71,60%,63%,0.3
Anthony Alves,Record: 1-4-0,,--,--,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Amilcar Alves,Record: 15-12-0,,"6' 0""",170 lbs.,--,Southpaw,"Aug 08, 1988",0.50,46%,2.02,30%,0.00,0%,53%,0.0
Warlley Alves,Record: 15-8-0,,"5' 11""",185 lbs.,"72""",Orthodox,"Jan 04, 1991",3.04,48%,3.95,50%,1.22,50%,62%,0.8
Rafael Alves,Record: 20-12-0,The Turn,"5' 8""",155 lbs.,"68""",Orthodox,"Nov 14, 1990",1.85,48%,3.30,58%,0.29,25%,44%,1.5
Sam Alvey,Record: 33-18-1 (1 NC),Smile'N,"6' 2""",185 lbs.,"75""",Southpaw,"May 06, 1986",3.28,44%,3.63,52%,0.06,14%,82%,0.1
Christopher Alvidrez,Record: 7-1-0,The Newborn,"6' 0""",170 lbs.,"74""",Orthodox,"Dec 27, 1996",6.97,62%,2.11,50%,0.00,0%,100%,0.0
Mahamed Aly,Record: 4-1-0,,"6' 2""",205 lbs.,"78""",Orthodox,"Jan 11, 1994",6.00,66%,12.00,33%,0.00,0%,0%,0.0
Andre Amado,Record: 6-4-1,Dida,"6' 0""",154 lbs.,--,Orthodox,"Oct 09, 1983",2.27,24%,5.91,63%,0.00,0%,20%,0.0
Adlan Amagov,Record: 14-2-1,Borz,"6' 2""",170 lbs.,"76""",Orthodox,"Oct 30, 1986",3.29,47%,0.82,78%,5.84,56%,100%,0.0
Maiara Amanajas dos Santos,Record: 7-3-0,,"5' 5""",115 lbs.,--,Southpaw,"Jul 11, 1987",5.53,35%,24.47,33%,0.00,0%,100%,0.0
Chris Amarante,Record: 2-0-0,,--,185 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Jimmy Ambriz,Record: 17-21-1,The Titan,"6' 2""",315 lbs.,--,Southpaw,"Jan 26, 1970",0.83,29%,3.76,40%,3.13,57%,100%,0.8
JJ Ambrose,Record: 28-7-0 (2 NC),,"5' 10""",170 lbs.,--,Orthodox,"Feb 06, 1987",3.16,69%,6.32,33%,0.00,0%,50%,0.0
Alen Amedovski,Record: 8-4-0,,"5' 10""",185 lbs.,"74""",Orthodox,"Apr 06, 1988",0.99,30%,3.85,46%,0.00,0%,0%,0.0
Hyder Amil,Record: 11-2-0,The Hurricane,"5' 9""",145 lbs.,"70""",Switch,"May 28, 1990",5.81,52%,3.95,51%,0.56,18%,65%,0.8
Hamid Amiri,Record: 9-0-0,The Storm,--,145 lbs.,--,,"Jun 15, 2003",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Makwan Amirkhani,Record: 17-9-0,Mr. Finland,"5' 10""",145 lbs.,"72""",Southpaw,"Nov 08, 1988",1.33,44%,2.98,46%,3.96,43%,35%,1.1
Jaqueline Amorim,Record: 10-2-0,,"5' 3""",115 lbs.,"68""",Orthodox,"Jun 24, 1995",2.43,50%,2.16,54%,2.16,36%,0%,3.8
Yaroslav Amosov,Record: 29-1-0,,"6' 0""",170 lbs.,"75""",Orthodox,"Sep 09, 1993",2.78,47%,1.55,54%,4.64,50%,0%,4.6
Bertrand Amoussou,Record: 1-1-0,,"5' 8""",190 lbs.,--,Orthodox,"May 28, 1966",6.75,39%,2.01,83%,0.00,0%,0%,0.0
Karl Amoussou,Record: 27-7-2,The Psycho,"5' 11""",185 lbs.,--,Orthodox,"Nov 21, 1985",1.47,34%,2.67,54%,0.00,0%,25%,1.0
Eryk Anders,Record: 17-9-0 (1 NC),Ya Boi,"6' 1""",185 lbs.,"75""",Southpaw,"Apr 21, 1987",3.51,48%,4.09,50%,1.75,24%,80%,0.1
Matt Andersen,Record: 14-8-1,,"6' 2""",230 lbs.,--,Southpaw,"May 29, 1971",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Andy Anderson,Record: 0-1-0,The Hammer,"5' 6""",240 lbs.,--,,"Jul 16, 1974",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Lowell Anderson,Record: 0-1-0,,"5' 6""",160 lbs.,--,Orthodox,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Corey Anderson,Record: 14-5-0,Overtime,"6' 3""",205 lbs.,"79""",Orthodox,"Sep 22, 1989",4.43,46%,2.22,59%,4.89,50%,83%,0.0
Derek Anderson,Record: 14-3-0 (1 NC),Barbaric,"6' 0""",155 lbs.,--,,"Feb 02, 1990",3.97,37%,3.08,61%,0.34,14%,60%,0.0
Megan Anderson,Record: 11-5-0,,"6' 0""",145 lbs.,"72""",Orthodox,"Feb 11, 1990",1.76,46%,3.35,37%,0.52,25%,53%,0.5
Liam Anderson,Record: 6-3-0,,"6' 3""",185 lbs.,"75""",Orthodox,"Jan 13, 1995",3.00,52%,6.53,31%,1.00,20%,50%,0.0
Tatsuya Ando,Record: 14-4-1,Kirinji,"5' 4""",145 lbs.,"68""",Southpaw,"Apr 26, 1990",0.93,19%,4.93,50%,0.00,0%,0%,0.0
Alex Andrade,Record: 10-5-0,El Toro,"5' 11""",200 lbs.,--,Orthodox,"May 14, 1974",0.20,36%,2.60,53%,0.00,0%,25%,0.8
Jessica Andrade,Record: 26-15-0,Bate Estaca,"5' 1""",115 lbs.,"62""",Orthodox,"Sep 25, 1991",6.37,48%,5.58,54%,2.10,54%,75%,0.3
Viscardi Andrade,Record: 19-6-0,,"5' 11""",170 lbs.,"75""",Orthodox,"Mar 08, 1984",3.26,42%,2.77,63%,1.93,50%,66%,0.3
Jermaine Andre,Record: 14-4-0,,"5' 7""",200 lbs.,--,Orthodox,"Jul 16, 1973",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Fellipe Andrew,Record: 0-0-0,,--,--,--,,"Oct 24, 1994",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Dylan Andrews,Record: 18-7-0 (1 NC),The Villain,"6' 1""",185 lbs.,"74""",Switch,"Nov 15, 1979",2.21,50%,2.72,46%,2.83,50%,57%,0.4
Reese Andy,Record: 7-3-0,Riptide,"6' 0""",205 lbs.,--,Orthodox,"Mar 31, 1973",2.87,50%,3.50,58%,0.67,20%,40%,0.0
Angga,Record: 13-3-0,The Hitman,"5' 7""",145 lbs.,"68""",Orthodox,"Jan 13, 1989",3.56,38%,3.77,53%,0.00,0%,33%,0.0
Julius Anglickas,Record: 5-1-0,,"6' 3""",205 lbs.,--,Orthodox,"Jul 23, 1991",4.62,78%,1.86,50%,4.47,50%,60%,1.1
Collin Anglin,Record: 8-3-0,,"5' 9""",145 lbs.,"71""",Orthodox,"Feb 20, 1993",4.59,48%,5.54,51%,2.28,66%,100%,0.0
Chad Anheliger,Record: 13-8-0,The Monster,"5' 6""",135 lbs.,"64""",Orthodox,"Dec 01, 1986",3.11,46%,2.76,53%,0.68,30%,38%,0.5
Yoji Anjo,Record: 0-5-1,Mr. 200%,"5' 11""",205 lbs.,--,Orthodox,"Mar 28, 1967",0.00,0%,3.13,25%,0.00,0%,0%,0.0
Magomed Ankalaev,Record: 21-2-1 (1 NC),,"6' 3""",205 lbs.,"75""",Orthodox,"Jun 02, 1992",3.65,52%,2.59,56%,0.79,22%,87%,0.0
Gadzhimurad Antigulov,Record: 20-8-0,,"5' 11""",205 lbs.,"70""",Orthodox,"Feb 09, 1987",2.08,55%,4.21,40%,5.08,36%,0%,1.4
Adam Antolin,Record: 12-3-0,Captain Chaos,"5' 5""",125 lbs.,"63""",Orthodox,"Feb 28, 1982",5.73,52%,5.00,69%,0.00,0%,100%,0.0
Angelo Antonio,Record: 1-4-0,,--,205 lbs.,--,Orthodox,"Oct 04, 1998",1.09,50%,7.64,50%,0.00,0%,0%,0.0
Vanilto Antunes,Record: 16-7-0,,"6' 0""",170 lbs.,"72""",Orthodox,"Dec 28, 1994",5.49,48%,14.27,43%,0.00,0%,0%,0.0
Azunna Anyanwu,Record: 14-5-0,Zulu,"6' 1""",251 lbs.,--,Orthodox,"Aug 05, 1981",2.47,42%,2.47,69%,0.65,100%,0%,0.0
Shinsho Anzai,Record: 10-3-0,Animal,"5' 7""",170 lbs.,"70""",Orthodox,"Dec 01, 1985",3.23,58%,3.75,45%,1.83,16%,75%,0.0
Jin Aoi,Record: 14-6-1,,"5' 6""",145 lbs.,"68""",Orthodox,"Jan 21, 1997",1.60,29%,5.80,51%,0.00,0%,71%,0.0
Shinya Aoki,Record: 39-7-0 (1 NC),Tobikan Judan,"5' 11""",154 lbs.,--,Southpaw,"May 09, 1983",0.97,58%,1.25,58%,2.54,41%,60%,4.0
Aoriqileng,Record: 26-12-0 (1 NC),The Mongolian Murderer,"5' 7""",135 lbs.,"69""",Orthodox,"Jun 25, 1993",4.69,49%,5.47,48%,1.20,46%,58%,0.0
